[2026-04-19 12:06:08] [00006s] [WIFI] Connected! IP: 10.77.144.42 MAC: EC:E3:34:19:76:98
[2026-04-19 12:06:13] [00008s] [INFO] Node Online: Auto-Started Data Collection
[2026-04-19 12:06:13] [00011s] [DATA] VOC: 0.57V
[2026-04-19 12:16:02] [00106s] [DATA] CO2: 528ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:16:07] [00111s] [DATA] CO2: 528ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:16:12] [00116s] [DATA] CO2: 530ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:16:17] [00121s] [DATA] CO2: 528ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:16:22] [00126s] [DATA] CO2: 530ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:16:27] [00131s] [DATA] CO2: 531ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:16:32] [00136s] [DATA] CO2: 529ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:16:37] [00141s] [DATA] CO2: 533ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:17:52] [00003s] [WIFI] Connected! MAC: EC:E3:34:19:76:98
[2026-04-19 12:17:52] [00004s] [INFO] Node Online: Auto-Started Data Collection
[2026-04-19 12:17:53] [00005s] [DATA] CO2: 0ppm | VOC: 0.78V | CO: 0ppm
[2026-04-19 12:17:58] [00010s] [DATA] CO2: 0ppm | VOC: 0.71V | CO: 0ppm
[2026-04-19 12:18:03] [00015s] [DATA] CO2: 0ppm | VOC: 0.65V | CO: 0ppm
[2026-04-19 12:18:08] [00020s] [DATA] CO2: 498ppm | VOC: 0.63V | CO: 0ppm
[2026-04-19 12:18:13] [00025s] [DATA] CO2: 498ppm | VOC: 0.63V | CO: 0ppm
[2026-04-19 12:18:18] [00030s] [DATA] CO2: 498ppm | VOC: 0.62V | CO: 0ppm
[2026-04-19 12:18:23] [00035s] [DATA] CO2: 498ppm | VOC: 0.63V | CO: 0ppm
[2026-04-19 12:18:28] [00040s] [DATA] CO2: 498ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:18:33] [00045s] [DATA] CO2: 498ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:18:39] [00050s] [DATA] CO2: 498ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:18:46] [00055s] [DATA] CO2: 498ppm | VOC: 0.54V | CO: 0ppm
[2026-04-19 12:18:49] [00060s] [DATA] CO2: 498ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:18:54] [00065s] [DATA] CO2: 498ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:18:59] [00070s] [DATA] CO2: 498ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:04] [00075s] [DATA] CO2: 498ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:09] [00080s] [DATA] CO2: 541ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:14] [00085s] [DATA] CO2: 531ppm | VOC: 0.55V | CO: 0ppm
[2026-04-19 12:19:19] [00090s] [DATA] CO2: 524ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:19:24] [00095s] [DATA] CO2: 524ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:19:29] [00100s] [DATA] CO2: 522ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:34] [00105s] [DATA] CO2: 521ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:19:39] [00110s] [DATA] CO2: 516ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:44] [00115s] [DATA] CO2: 505ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:19:49] [00120s] [DATA] CO2: 511ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:19:54] [00125s] [DATA] CO2: 514ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:19:59] [00130s] [DATA] CO2: 515ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:20:04] [00135s] [DATA] CO2: 519ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:20:09] [00140s] [DATA] CO2: 508ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:20:14] [00145s] [DATA] CO2: 511ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:20:19] [00150s] [DATA] CO2: 515ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:20:37] [00160s] [DATA] CO2: 521ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:21:11] [00171s] [DATA] CO2: 526ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:21:11] [00176s] [DATA] CO2: 526ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:21:11] [00181s] [DATA] CO2: 526ppm | VOC: 0.55V | CO: 0ppm
[2026-04-19 12:21:11] [00187s] [DATA] CO2: 526ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:21:11] [00192s] [DATA] CO2: 528ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:21:11] [00197s] [DATA] CO2: 529ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:21:13] [00202s] [DATA] CO2: 526ppm | VOC: 0.54V | CO: 0ppm
[2026-04-19 12:21:15] [00207s] [DATA] CO2: 524ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:21:45] [00212s] [DATA] CO2: 528ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:21:45] [00217s] [DATA] CO2: 529ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:21:45] [00222s] [DATA] CO2: 528ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:21:45] [00227s] [DATA] CO2: 529ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:21:45] [00232s] [DATA] CO2: 528ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:21:48] [00237s] [DATA] CO2: 531ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:21:50] [00242s] [DATA] CO2: 531ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:21:55] [00247s] [DATA] CO2: 533ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:22:00] [00252s] [DATA] CO2: 535ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:22:05] [00257s] [DATA] CO2: 532ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:22:10] [00262s] [DATA] CO2: 534ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:22:15] [00267s] [DATA] CO2: 532ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:22:20] [00272s] [DATA] CO2: 534ppm | VOC: 0.56V | CO: 0ppm
